,s,a,r,s1
217,[-0.4877686   0.00330777],[-0.02754422],-7.586842081202528e-05,[-0.48477033  0.00299825]
218,[-0.48477033  0.00299825],[-0.9637783],-0.09288686442704695,[-0.4835083   0.00126203]
219,[-0.4835083   0.00126203],[0.9369475],-0.08778706637558323,[-0.4811408   0.00236749]
220,[-0.4811408   0.00236749],[-0.06417338],-0.000411822245039023,[-0.4207563  -0.00086155]
221,[-0.4207563  -0.00086155],[0.01896587],-3.59704300895939e-05,[-0.42234856 -0.00159224]
222,[-0.42234856 -0.00159224],[0.33432984],-0.011177644426885536,[-0.42418706 -0.0018385 ]
223,[-0.42418706 -0.0018385 ],[0.5019716],-0.025197548965606133,[-0.42600718 -0.00182013]
224,[-0.42600718 -0.00182013],[0.55007833],-0.03025861718025489,[-0.4277237  -0.00171654]
225,[-0.4277237  -0.00171654],[-0.6533166],-0.04268226020640356,[-0.4311294 -0.0034057]
226,[-0.4311294 -0.0034057],[0.6092937],-0.03712388119634511,[-0.43430582 -0.00317642]
227,[-0.43430582 -0.00317642],[-0.17988656],-0.0032359176128047063,[-0.4384138  -0.00410797]
228,[-0.4384138  -0.00410797],[-0.10381421],-0.0010777391125608383,[-0.44330946 -0.00489564]
229,[-0.44330946 -0.00489564],[-0.3987891],-0.01590327524995452,[-0.44939965 -0.00609019]
230,[-0.44939965 -0.00609019],[-0.16322143],-0.002664123643825733,[-0.45628658 -0.00688693]
231,[-0.45628658 -0.00688693],[-0.64499617],-0.04160200544504278,[-0.46464244 -0.00835584]
232,[-0.46464244 -0.00835584],[-0.33904544],-0.011495180712331266,[-0.47394672 -0.00930428]
233,[-0.47394672 -0.00930428],[-0.82076347],-0.06736526716220084,[-0.48485318 -0.01090644]
234,[-0.48485318 -0.01090644],[0.39086613],-0.0152776332042742,[-0.49546325 -0.01061008]
235,[-0.49546325 -0.01061008],[-0.9966034],-0.09932183953273502,[-0.507779   -0.01231575]
236,[-0.507779   -0.01231575],[0.6661037],-0.04436941666837271,[-0.5192142 -0.0114352]
237,[-0.5192142 -0.0114352],[0.89121073],-0.07942565739015528,[-0.52934545 -0.01013127]
238,[-0.52934545 -0.01013127],[0.20302136],-0.004121767360045526,[-0.5391291  -0.00978364]
239,[-0.5391291  -0.00978364],[0.7135959],-0.05092191466907856,[-0.5477259  -0.00859681]
240,[-0.5477259  -0.00859681],[0.87601286],-0.07673985339140509,[-0.42927423  0.00062046]
241,[-0.42927423  0.00062046],[0.3392124],-0.01150650440371246,[-0.428843    0.00043125]
242,[-0.428843    0.00043125],[-0.32324603],-0.010448799720347868,[-0.42959774 -0.00075476]
243,[-0.42959774 -0.00075476],[-0.03620502],-0.00013108031891043148,[-0.4311025  -0.00150477]
244,[-0.4311025  -0.00150477],[0.995645],-0.09913089394004296,[-0.43179867 -0.00069615]
245,[-0.43179867 -0.00069615],[-0.32758018],-0.010730877678203488,[-0.43366602 -0.00186735]
246,[-0.43366602 -0.00186735],[0.07983052],-0.0006372911900323131,[-0.43607998 -0.00241395]
247,[-0.43607998 -0.00241395],[-0.792245],-0.06276520937555041,[-0.44033116 -0.00425119]
248,[-0.44033116 -0.00425119],[-0.42900887],-0.018404861166860888,[-0.4458439  -0.00551274]
249,[-0.4458439  -0.00551274],[-0.17828152],-0.003178429888903711,[-0.45220196 -0.00635805]
250,[-0.45220196 -0.00635805],[0.34036013],-0.011584502138831089,[-0.45858085 -0.0063789 ]
251,[-0.45858085 -0.0063789 ],[-0.08756577],-0.0007667764467180816,[-0.46557564 -0.0069948 ]
252,[-0.46557564 -0.0069948 ],[-0.57238626],-0.03276260361328696,[-0.473862   -0.00828636]
253,[-0.473862   -0.00828636],[-0.0097238],-9.455232722437816e-06,[-0.4825346  -0.00867258]
254,[-0.4825346  -0.00867258],[-0.9394442],-0.08825553754212621,[-0.49292353 -0.01038895]
