,s,a,r,s1
356,[-0.02777021 -0.22531377 -0.00498907  0.30183458],0,1.0,[-0.03227648 -0.42036426  0.00104762  0.5929399 ]
357,[-0.03227648 -0.42036426  0.00104762  0.5929399 ],0,1.0,[-0.04068377 -0.61550087  0.01290642  0.88595265]
358,[-0.04068377 -0.61550087  0.01290642  0.88595265],0,1.0,[-0.05299379 -0.8107956   0.03062547  1.1826648 ]
359,[-0.05299379 -0.8107956   0.03062547  1.1826648 ],0,1.0,[-0.06920969 -1.0063013   0.05427877  1.4847883 ]
360,[-0.06920969 -1.0063013   0.05427877  1.4847883 ],1,1.0,[ 0.01198996  0.18471947  0.05061678 -0.22792347]
361,[ 0.01198996  0.18471947  0.05061678 -0.22792347],1,1.0,[ 0.01568435  0.37908292  0.04605831 -0.50422025]
362,[ 0.01568435  0.37908292  0.04605831 -0.50422025],0,1.0,[ 0.02326601  0.18334313  0.03597391 -0.19738558]
363,[ 0.02326601  0.18334313  0.03597391 -0.19738558],1,1.0,[ 0.02693287  0.37793255  0.03202619 -0.47850683]
364,[ 0.02693287  0.37793255  0.03202619 -0.47850683],0,1.0,[ 0.03449152  0.18237343  0.02245606 -0.17590448]
365,[ 0.03449152  0.18237343  0.02245606 -0.17590448],1,1.0,[-0.03764207  0.21929666  0.04491022 -0.3038783 ]
366,[-0.03764207  0.21929666  0.04491022 -0.3038783 ],0,1.0,[-0.03325614  0.02356441  0.03883265  0.0026232 ]
367,[-0.03325614  0.02356441  0.03883265  0.0026232 ],0,1.0,[-0.03278485 -0.17209232  0.03888512  0.30730096]
368,[-0.03278485 -0.17209232  0.03888512  0.30730096],1,1.0,[-0.0362267   0.02245459  0.04503113  0.02713054]
369,[-0.0362267   0.02245459  0.04503113  0.02713054],1,1.0,[-0.03577761  0.2169028   0.04557374 -0.25101143]
370,[-0.03577761  0.2169028   0.04557374 -0.25101143],0,1.0,[-0.01941016 -0.15016627  0.02510208  0.2659272 ]
